Recorded On,Activity Date,Start Time,Finish Time,Distance,Duration,Max Speed
2016-05-16 19:12:27,2016-05-16,19:12:27,19:17:02,1.384,275.0,31.01
2016-05-17 08:13:15,2016-05-17,08:13:15,08:26:32,2.043,797.0,34.62
2016-05-17 15:46:45,2016-05-17,15:46:45,16:07:52,2.571,1267.0,38.32
2016-05-18 07:39:06,2016-05-18,07:39:06,07:49:48,1.961,642.0,26.49
2016-05-18 15:34:44,2016-05-18,15:34:44,15:41:05,1.134,381.0,31.72
2016-05-19 08:00:12,2016-05-19,08:00:12,08:12:17,2.089,725.0,28.66
2016-05-19 15:57:21,2016-05-19,15:57:21,16:05:34,1.8,493.0,28.21
2016-05-20 07:39:45,2016-05-20,07:39:45,07:47:41,1.626,476.0,29.67
2016-05-20 10:38:56,2016-05-20,10:38:56,10:43:59,1.196,303.0,30.77
2016-05-20 11:36:00,2016-05-20,11:36:00,11:45:11,1.623,551.0,25.57
2016-05-20 13:34:52,2016-05-20,13:34:52,13:43:27,1.606,515.0,31.55
2016-05-23 18:41:39,2016-05-23,18:41:39,18:46:57,1.384,318.0,32.06
2016-05-24 09:24:00,2016-05-24,09:24:00,09:33:17,1.577,557.0,38.87
2016-05-25 07:43:56,2016-05-25,07:43:56,07:53:56,1.695,600.0,45.18
2016-05-26 07:25:24,2016-05-26,07:25:24,07:38:54,1.717,810.0,32.66
2016-05-26 10:33:43,2016-05-26,10:33:43,11:07:23,2.61,2020.0,37.64
2016-05-26 15:38:03,2016-05-26,15:38:03,15:46:24,1.893,501.0,29.24
2016-05-27 07:44:42,2016-05-27,07:44:42,07:56:05,1.935,683.0,28.28
2016-05-27 14:40:32,2016-05-27,14:40:32,14:53:18,1.973,766.0,31.01
2016-05-27 14:58:34,2016-05-27,14:58:34,15:05:39,1.592,425.0,25.02
2016-05-27 15:08:27,2016-05-27,15:08:27,15:17:37,1.677,550.0,26.78
2016-05-28 17:10:07,2016-05-28,17:10:07,17:15:20,1.136,313.0,20.63
2016-05-28 17:18:29,2016-05-28,17:18:29,17:25:12,1.149,403.0,26.56
2016-06-01 07:45:40,2016-06-01,07:45:40,07:51:01,1.395,321.0,31.76
2016-06-01 15:20:14,2016-06-01,15:20:14,15:27:55,1.329,461.0,31.47
2016-06-02 11:38:50,2016-06-02,11:38:50,12:08:38,2.479,1788.0,28.21
2016-06-02 15:46:37,2016-06-02,15:46:37,15:56:00,1.852,563.0,31.62
2016-06-03 07:43:14,2016-06-03,07:43:14,08:05:16,1.8,1322.0,25.85
2016-06-03 14:26:57,2016-06-03,14:26:57,14:34:07,1.582,430.0,30.62
2016-06-03 14:42:06,2016-06-03,14:42:06,15:12:36,0.895,1830.0,21.55
2016-06-04 11:59:21,2016-06-04,11:59:21,12:03:04,0.463,223.0,21.15
2016-06-04 12:24:47,2016-06-04,12:24:47,12:28:08,0.544,201.0,23.67
2016-06-05 13:37:42,2016-06-05,13:37:42,14:49:33,3.701,4311.0,41.33
2016-06-05 15:01:37,2016-06-05,15:01:37,15:04:33,0.571,176.0,24.5
2016-06-06 10:51:35,2016-06-06,10:51:35,11:00:30,1.609,535.0,24.3
2016-06-06 12:29:37,2016-06-06,12:29:37,14:20:42,4.294,6665.0,30.19
2016-06-06 18:46:26,2016-06-06,18:46:26,18:52:21,1.676,355.0,36.17
2016-06-07 07:23:45,2016-06-07,07:23:45,07:37:39,1.86,834.0,27.41
2016-06-07 11:34:58,2016-06-07,11:34:58,11:53:51,2.346,1133.0,24.34
2016-06-08 15:57:32,2016-06-08,15:57:32,16:24:21,1.107,1609.0,27.55
2016-06-09 07:19:02,2016-06-09,07:19:02,07:28:03,1.738,541.0,31.93
2016-06-09 15:51:03,2016-06-09,15:51:03,16:11:43,2.191,1240.0,29.63
2016-06-10 07:39:13,2016-06-10,07:39:13,07:47:09,1.66,476.0,27.89
2020-11-17 08:22:08,2020-11-17,08:22:08,08:31:12,2.22,544.0,28.7
2020-11-17 17:00:50,2020-11-17,17:00:50,17:23:11,7.219,1341.0,32.25
2020-11-19 08:01:03,2020-11-19,08:01:03,08:12:18,2.675,675.0,75.83
2020-11-19 16:17:32,2020-11-19,16:17:32,16:28:00,3.305,628.0,30.45
2020-11-20 11:24:11,2020-11-20,11:24:11,11:36:31,4.056,740.0,31.55
2020-11-20 18:04:29,2020-11-20,18:04:29,18:15:58,3.535,689.0,52.95
2020-11-23 08:15:45,2020-11-23,08:15:45,08:30:38,3.473,893.0,30.94
2020-11-23 18:10:45,2020-11-23,18:10:45,18:21:28,3.264,643.0,33.56
2020-11-24 08:25:34,2020-11-24,08:25:34,08:38:46,3.437,792.0,31.0
2020-11-24 17:11:21,2020-11-24,17:11:21,17:16:50,1.475,329.0,28.67
2020-11-26 08:20:57,2020-11-26,08:20:57,08:34:26,3.421,809.0,32.26
2020-11-26 17:50:13,2020-11-26,17:50:13,18:07:31,3.727,1038.0,30.67
2020-11-27 08:23:58,2020-11-27,08:23:58,08:33:33,2.221,575.0,29.77
2020-11-27 17:11:36,2020-11-27,17:11:36,17:35:53,8.009,1457.0,35.75
2020-11-29 19:32:28,2020-11-29,19:32:28,20:01:41,3.368,1753.0,26.78
2020-11-30 10:42:05,2020-11-30,10:42:05,10:49:49,2.308,464.0,30.15
2020-11-30 17:43:11,2020-11-30,17:43:11,17:59:15,5.368,964.0,31.2
2020-12-01 08:21:01,2020-12-01,08:21:01,10:41:26,2.852,8425.0,27.11
2020-12-01 17:31:46,2020-12-01,17:31:46,17:58:16,8.089,1590.0,33.7
2020-12-02 13:53:06,2020-12-02,13:53:06,14:13:13,4.181,1207.0,31.98
2020-12-02 15:59:27,2020-12-02,15:59:27,16:30:39,4.6,1872.0,35.26
2020-12-03 08:07:14,2020-12-03,08:07:14,08:17:51,2.227,637.0,28.84
2020-12-03 16:26:05,2020-12-03,16:26:05,16:34:59,2.304,534.0,30.32
2020-12-04 11:25:02,2020-12-04,11:25:02,11:42:43,4.306,1061.0,34.01
2020-12-04 18:32:03,2020-12-04,18:32:03,18:40:16,2.313,493.0,28.51
2020-12-07 08:31:54,2020-12-07,08:31:54,08:42:23,2.43,629.0,33.09
2020-12-07 18:22:28,2020-12-07,18:22:28,18:33:46,3.345,678.0,31.59
2020-12-08 08:24:55,2020-12-08,08:24:55,08:35:50,2.232,655.0,26.44
2020-12-08 16:40:56,2020-12-08,16:40:56,17:00:21,3.815,1165.0,31.5
2020-12-09 17:16:54,2020-12-09,17:16:54,17:48:32,2.219,1898.0,33.51
2020-12-13 12:38:12,2020-12-13,12:38:12,12:53:05,3.182,893.0,31.19
2020-12-17 08:18:33,2020-12-17,08:18:33,08:29:03,2.278,630.0,29.49
2020-12-17 14:16:20,2020-12-17,14:16:20,14:48:04,5.789,1904.0,29.9
2020-12-17 15:01:44,2020-12-17,15:01:44,15:18:55,3.956,1031.0,32.76
2021-01-06 12:12:26,2021-01-06,12:12:26,13:16:19,8.173,3833.0,32.84
2021-01-08 12:00:57,2021-01-08,12:00:57,12:42:02,6.761,2465.0,31.65
2021-01-09 16:39:24,2021-01-09,16:39:24,17:00:38,6.266,1274.0,132.64
2021-01-14 12:42:43,2021-01-14,12:42:43,13:16:19,6.72,2016.0,36.98
2021-01-15 16:25:04,2021-01-15,16:25:04,16:46:08,5.522,1264.0,34.68
2021-01-19 14:32:44,2021-01-19,14:32:44,14:38:52,0.959,368.0,31.46
2021-01-19 14:43:49,2021-01-19,14:43:49,15:16:19,6.515,1950.0,33.66
2021-01-21 13:45:01,2021-01-21,13:45:01,14:18:37,5.138,2016.0,33.65
2021-01-27 10:27:25,2021-01-27,10:27:25,10:35:22,2.765,477.0,41.95
2021-01-27 11:28:54,2021-01-27,11:28:54,12:08:16,5.59,2362.0,42.02
2021-01-28 16:05:19,2021-01-28,16:05:19,16:26:32,3.301,1273.0,33.89
2021-01-28 16:53:46,2021-01-28,16:53:46,17:06:28,3.135,762.0,30.73
2021-01-29 16:57:05,2021-01-29,16:57:05,17:16:56,2.698,1191.0,27.58
2021-02-04 16:16:14,2021-02-04,16:16:14,17:01:05,4.086,2691.0,31.93
2021-02-04 17:02:08,2021-02-04,17:02:08,17:15:27,3.495,799.0,37.07
2021-02-05 16:41:12,2021-02-05,16:41:12,17:14:50,7.165,2018.0,36.46
2021-02-06 13:29:49,2021-02-06,13:29:49,13:48:26,2.584,1117.0,34.2
2021-02-15 16:20:03,2021-02-15,16:20:03,16:43:37,3.845,1414.0,34.33
2021-02-15 16:54:19,2021-02-15,16:54:19,17:07:22,3.609,783.0,37.9
2021-02-18 16:30:09,2021-02-18,16:30:09,16:45:57,3.331,948.0,48.41
2021-02-18 16:54:34,2021-02-18,16:54:34,17:06:20,3.311,706.0,36.07
2021-02-19 16:21:03,2021-02-19,16:21:03,16:52:51,3.492,1908.0,33.0
2021-02-19 16:55:35,2021-02-19,16:55:35,17:07:08,2.972,693.0,30.39
2021-03-04 12:23:40,2021-03-04,12:23:40,12:37:28,2.35,828.0,31.93
2021-03-08 08:22:49,2021-03-08,08:22:49,08:31:15,2.483,506.0,37.23
2021-03-08 16:48:07,2021-03-08,16:48:07,17:02:42,5.026,875.0,30.64
2021-03-08 17:13:42,2021-03-08,17:13:42,17:24:58,1.696,676.0,34.22
2021-03-09 08:20:36,2021-03-09,08:20:36,08:30:06,2.304,570.0,36.13
